age,min_per_match
28,90
29,74
25,87
24,89
25,53
31,59
26,86
26,61
23,40
30,44
21,72
26,67
22,54
31,53
23,60
29,89
36,0
34,86
32,90
35,88
26,84
25,89
22,90
30,44
24,71
22,87
23,59
22,79
22,31
32,80
27,39
31,28
31,83
29,60
26,0
33,69
30,90
29,78
25,86
27,76
26,85
27,59
32,75
29,82
23,54
29,37
26,79
29,82
27,53
27,30
30,72
27,83
25,61
28,0
32,90
32,87
26,71
26,68
23,84
30,81
27,79
27,66
23,73
25,76
26,87
32,52
27,66
22,2
30,86
35,90
22,62
34,34
32,90
32,75
28,83
28,90
24,90
33,80
29,69
25,84
22,76
27,85
27,85
34,72
23,14
36,5
39,90
23,42
22,55
26,28
29,90
32,77
31,89
34,88
28,89
29,88
24,74
26,53
25,70
29,67
27,49
28,31
24,63
29,6
29,0
25,81
28,90
28,32
31,90
29,87
26,69
25,84
24,83
30,56
28,69
28,71
28,70
19,66
24,89
24,53
25,49
28,34
27,15
21,66
25,90
25,29
32,88
29,90
30,88
29,89
26,56
21,90
31,81
28,79
28,90
28,51
26,89
23,14
29,61
29,0
29,79
32,88
29,85
22,0
31,79
29,90
30,71
29,88
25,85
25,77
30,82
28,80
26,70
23,81
24,57
30,46
23,46
30,90
27,76
22,19
28,81
23,65
24,90
32,90
30,90
28,89
26,87
25,46
27,86
28,86
31,66
32,57
26,59
23,41
28,79
28,13
37,90
32,31
27,31
23,77
36,90
35,86
30,86
28,76
30,85
31,89
28,86
26,87
24,76
31,80
28,47
23,35
25,44
28,71
38,0
32,13
32,74
25,72
27,90
38,81
27,88
27,88
24,80
30,83
28,75
27,85
27,61
25,71
35,66
31,82
23,63
26,54
31,52
25,47
31,74
30,90
31,90
29,90
28,88
27,83
26,90
25,84
32,80
22,86
22,72
25,54
28,82
25,18
20,41
19,25
21,0
32,90
29,60
24,0
25,90
37,47
34,63
30,88
26,90
29,60
29,82
29,86
30,57
28,42
22,77
22,81
29,55
26,85
24,0
36,0
21,61
22,51
26,90
28,89
25,89
22,66
20,85
33,58
28,78
24,56
27,77
27,86
27,86
29,62
27,44
29,28
26,0
28,70
25,72
31,36
34,90
31,78
25,77
26,72
28,88
32,74
27,49
29,64
26,85
20,88
30,71
31,67
31,53
29,51
34,80
32,0
27,47
22,90
29,90
30,90
27,83
27,88
25,71
25,90
27,69
27,49
25,86
25,77
30,39
27,70
25,49
27,39
24,75
24,89
23,90
23,86
32,90
34,77
30,83
29,90
26,88
32,76
30,90
28,60
29,83
27,65
27,68
29,46
29,65
25,85
33,90
26,63
35,0
34,88
37,84
31,88
27,84
24,81
30,73
30,66
28,47
26,86
22,62
20,65
30,76
35,67
28,72
23,70
27,48
23,81
23,56
27,89
26,90
29,84
25,90
25,87
25,73
34,82
28,69
28,50
25,79
31,75
24,82
28,51
22,35
23,60
36,0
33,72
31,69
19,25
29,80
25,39
24,75
24,33
30,78
33,34
30,31
29,82
24,82
21,29
22,79
32,49
31,89
23,74
27,67
23,31
28,84
27,51
23,61
29,69
23,69
25,54
33,85
28,18
33,73
22,25
23,45
30,19
29,86
28,87
26,62
30,64
23,49
27,59
27,78
31,0
28,70
29,66
20,0
24,84
26,63
21,0
34,32
33,13
32,0
24,0
27,90
31,84
23,0
21,76
34,78
27,70
31,87
25,75
26,51
33,36
25,0
27,59
27,73
19,0
26,28
36,0
19,76
27,24
24,30
28,39
27,90
29,0
22,82
30,29
29,45
32,0
26,38
20,0
33,11
32,29
21,36
26,79
24,42
31,79
28,73
27,53
25,30
31,75
18,27
30,81
25,69
19,0
26,0
30,76
28,11
19,13
19,42
22,67
24,31
26,74
24,68
26,10
19,0
19,0
23,62
29,0
24,77
31,0
30,11
28,19
20,0
19,0
27,45
29,42
32,49
23,55
21,78
19,22
21,0
32,0
20,12
30,38
22,0
19,0
22,67
20,75
20,63
19,0
21,0
33,78
21,0
25,66
21,66
24,4
40,90
32,66
19,0
30,36
22,17
20,0
49,7
19,0
18,90
22,0
