nationality,goals_overall,position
Spain,0,Goalkeeper
Italy,0,Defender
Sweden,1,Defender
England,1,Defender
Côte d'Ivoire,0,Defender
Spain,3,Midfielder
France,13,Midfielder
Brazil,1,Midfielder
Brazil,1,Midfielder
Chile,1,Forward
England,10,Forward
Belgium,12,Forward
England,2,Midfielder
Belgium,0,Midfielder
France,10,Forward
England,1,Defender
England,0,Goalkeeper
England,2,Midfielder
Denmark,0,Goalkeeper
Jamaica,3,Defender
England,3,Defender
Portugal,2,Defender
England,0,Defender
Portugal,0,Midfielder
Ghana,0,Midfielder
Nigeria,2,Midfielder
England,4,Midfielder
England,7,Midfielder
Nigeria,1,Forward
England,18,Forward
Algeria,1,Forward
Spain,0,Midfielder
Northern Ireland,1,Defender
England,2,Midfielder
Wales,0,Goalkeeper
Austria,0,Defender
Slovakia,0,Goalkeeper
Republic of Ireland,3,Defender
England,0,Defender
Wales,0,Defender
USA,1,Defender
England,1,Midfielder
Senegal,0,Midfielder
Scotland,2,Midfielder
Brazil,1,Midfielder
Spain,2,Forward
Spain,12,Forward
Venezuela,11,Forward
Ghana,1,Midfielder
Japan,1,Forward
South Korea,0,Midfielder
Switzerland,4,Defender
Spain,0,Defender
England,0,Goalkeeper
France,0,Goalkeeper
Belgium,1,Defender
Côte d'Ivoire,0,Defender
Wales,0,Defender
Colombia,1,Defender
France,0,Midfielder
Denmark,8,Midfielder
Brazil,10,Midfielder
England,5,Midfielder
England,3,Midfielder
England,17,Forward
Belgium,0,Midfielder
South Korea,12,Forward
England,0,Midfielder
Belgium,0,Defender
Netherlands,0,Goalkeeper
England,0,Defender
Spain,1,Forward
Bosnia and Herzegovina,0,Goalkeeper
England,1,Defender
England,1,Defender
England,1,Defender
Netherlands,4,Defender
England,0,Midfielder
England,2,Midfielder
Scotland,7,Midfielder
England,7,Forward
England,14,Forward
Norway,12,Forward
England,0,Defender
France,1,Forward
England,0,Forward
Poland,0,Goalkeeper
England,1,Midfielder
England,0,Midfielder
England,0,Defender
Philippines,0,Goalkeeper
England,0,Defender
Gabon,0,Defender
Côte d'Ivoire,4,Defender
England,1,Defender
England,0,Defender
Scotland,4,Defender
England,5,Midfielder
England,0,Midfielder
Canada,3,Forward
England,4,Midfielder
England,1,Forward
England,3,Forward
England,0,Forward
England,0,Goalkeeper
Spain,5,Midfielder
Republic of Ireland,0,Defender
Wales,0,Defender
Spain,0,Goalkeeper
France,0,Defender
Republic of Ireland,0,Defender
England,0,Defender
England,2,Defender
Scotland,0,Midfielder
Germany,6,Midfielder
Scotland,1,Midfielder
Côte d'Ivoire,1,Midfielder
England,2,Defender
Serbia,11,Forward
France,3,Forward
Argentina,1,Forward
Norway,0,Midfielder
Congo DR,0,Midfielder
Netherlands,0,Defender
Spain,0,Goalkeeper
Belgium,0,Midfielder
Wales,0,Goalkeeper
France,0,Defender
England,1,Defender
Netherlands,3,Defender
Ghana,4,Defender
England,0,Midfielder
Scotland,3,Midfielder
England,6,Midfielder
Serbia,12,Midfielder
Belgium,1,Forward
Côte d'Ivoire,10,Midfielder
Norway,0,Forward
Senegal,0,Midfielder
Senegal,0,Defender
England,1,Defender
Spain,0,Goalkeeper
England,0,Defender
Netherlands,0,Defender
England,0,Goalkeeper
Denmark,3,Defender
Germany,0,Defender
Germany,1,Defender
Netherlands,1,Defender
Switzerland,0,Defender
England,0,Midfielder
Australia,3,Midfielder
England,2,Midfielder
Denmark,2,Midfielder
Benin,2,Forward
Belgium,0,Forward
France,0,Forward
Denmark,0,Goalkeeper
England,0,Defender
Egypt,0,Forward
Netherlands,0,Midfielder
Slovenia,1,Defender
Spain,0,Goalkeeper
Brazil,3,Defender
Spain,1,Defender
Spain,2,Defender
Germany,1,Defender
England,3,Midfielder
Italy,2,Midfielder
France,4,Midfielder
Brazil,3,Forward
Spain,8,Midfielder
Spain,5,Forward
England,6,Midfielder
Belgium,16,Midfielder
Nigeria,0,Midfielder
Argentina,0,Goalkeeper
France,2,Forward
Italy,0,Defender
Denmark,0,Defender
England,0,Goalkeeper
Greece,3,Defender
Northern Ireland,3,Defender
Belgium,0,Defender
Netherlands,0,Defender
France,1,Midfielder
Argentina,6,Forward
France,5,Midfielder
England,2,Midfielder
England,9,Forward
England,7,Forward
Nigeria,1,Forward
Sweden,1,Midfielder
Spain,1,Midfielder
Brazil,0,Goalkeeper
Austria,0,Defender
Jamaica,0,Defender
Italy,0,Defender
Australia,0,Goalkeeper
Spain,0,Defender
Republic of Ireland,5,Defender
England,2,Defender
